mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
47	47	1/2	1/2	4/2	1	1	i				i	i								m	0, -3, 1		0	0	5	2	0.7142857142857143	2.0	1.0	0.6666666666666666
47	47	3/2	3/2	4/2	1	1	vo6				vo6	v	o	6						o	-2, -5, 1		1	-2	3	0	1.0	1.5	0.0	1.0
48	48	0	0	4/2	1	1	IV6(2)				IV6(2)	IV		6	2					M	3, 0, 1		-1	3	3	0	1.0	2.5	0.0	1.0
48	48	1/2	1/2	4/2	1	1	iv6				iv6	iv		6						m	-4, 0, -1		-1	-4	1	1	0.5	0.5	0.5	0.5
48	48	1	1	4/2	1	1	V6/iv				V6/iv	V		6		iv				M	4, 1, 0		0	4	3	0	1.0	2.5	0.0	1.0
48	48	3/2	3/2	4/2	1	1	#viio6/iv				#viio6/iv	#vii	o	6		iv				o	1, -2, 4		4	1	2	0	1.0	1.0	0.0	1.0
49	49	0	0	4/2	1	1	IV				IV	IV								M	-1, 3, 0		-1	-1	4	1	0.8	1.375	0.125	0.9166666666666666
49	49	1/2	1/2	4/2	1	1	iv				iv	iv								m	-1, -4, 0		-1	-1	2	1	0.6666666666666666	1.5	0.5	0.75
49	49	1	1	4/2	1	1	VII(9)				VII(9)	VII			9					M	-2, 2, -1	0	-2	-2	1	1	0.5	0.5	1.0	0.3333333333333333
49	49	3/2	3/2	4/2	1	1	v6				v6	v		6						m	-2, 2, 1		1	-2	1	1	0.5	0.5	0.5	0.5
50	50	0	0	4/2	1	1	I(#13)}{				I(#13)	I			#13				}{	M	0, 4, 1	3	0	0	2	3	0.4	0.75	2.25	0.25
