mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0						𝅗𝅥=55	110.0	𝅗𝅥	55.0	0.0
1	1	0	0	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	0							
1	1	3/2	3/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	1							
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	2							
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	3							
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	4							
1	1	3	3	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	5							
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	6							
2	2	4	4	0.25	0	0	Chord	4/4	1	1	1/16	1/16	1	7							
2	2	17/4	17/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16	1/16	1	8							
2	2	9/2	9/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16	1/16	1	9							
2	2	19/4	19/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16	1/16	1	10							
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	11							
2	2	11/2	11/2	0.25	3/8	3/8	Chord	4/4	1	1	1/16	1/16	1	12							
2	2	23/4	23/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	13							
2	2	6	6	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	14							
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	15							
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	16							
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	17							
2	2	6	6	1.5	1/2	1/2	Chord	4/4	1	2	3/8	1/4	3/2	18							
2	2	15/2	15/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	19							
2	2	31/4	31/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	20							
3	3	8	8	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	21							
3	3	9	9	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	22							
3	3	10	10	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	23							
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	24							
3	3	8	8	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	25							
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	26							
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	27							
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	28							
3	3	10	10	0.25	1/2	1/2	Chord	4/4	1	2	1/16	1/16	1	29							
3	3	41/4	41/4	0.25	9/16	9/16	Chord	4/4	1	2	1/16	1/16	1	30							
3	3	21/2	21/2	0.25	5/8	5/8	Chord	4/4	1	2	1/16	1/16	1	31							
3	3	43/4	43/4	0.25	11/16	11/16	Chord	4/4	1	2	1/16	1/16	1	32							
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	33							
3	3	23/2	23/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	34							
3	3	47/4	47/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	35							
4	4	12	12	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	36							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	37							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	38							
4	4	12	12	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	39							
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	40							
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	41							
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	42							
4	4	14	14	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	43							
4	4	15	15	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	44							
4	4	12	12	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	45							
4	4	27/2	27/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	46							
4	4	55/4	55/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	47							
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	48							
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	49							
4	4	15	15	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	50							
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	51							
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	52							
5	5	17	17	1.5	1/4	1/4	Chord	4/4	1	1	3/8	1/4	3/2	53							
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	54							
5	5	19	19	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	55							
5	5	16	16	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	56							
